question,label
monthly sales trend analysis,trend
i need assistance,unclear
anything intresting going on,insights
show the raw data table,raw_data
news today,unclear
identify data points that are outside the norm,anomaly
only show non returns,refinement
odd trends in the numbers,anomaly
identify the trend of customer complaints over time,trend
"hello, how are you doing",smalltalk
filter to 2024,refinement
how's our company doing as a whole,overview
what are the abnormal values,anomaly
amount changed - what's the reason for that,root_cause
filter to just category a,refinement
what's the bigger picture here,explain
locate the outlier in the dataset,anomaly
can you determine the factors that contribute to sales fluctuations?,correlation
filter by electronics,refinement
what is the relationship between the amount of units sold and revenue generated,correlation
how does it change over the years,trend
what's the meaning of this dashboard,explain
what r the top 10 amounts?,top_bottom
what are some interesting observations,insights
what's the overall performance look like,overview
identify unusual patterns in the data,anomaly
whats the meaning of life,unclear
"i need to see the big picture, whats going on?",overview
revenue pattern over months,trend
provide a brief overview of our key metrics,overview
may the rest of your day be awesome,smalltalk
list the best 3 products by amount sold,top_bottom
need help understanding this visualisation,explain
later dude,smalltalk
give me a brief on our current performance,overview
i need help understanding this business intelligence chart,explain
"hey, hows it going?",smalltalk
what r the top brandz,top_bottom
what is the predicted revenue for the upcoming quarter?,forecast
can you show me the main dashboard,overview
what do these numbers mean,explain
display entire dataset,refinement
can you give me a insight view of this data?,insights
can u show me sum sample rows?,raw_data
what's the main thing i should take away,insights
i need a brief overview of our current status,overview
what is this chart supposed to show,explain
what does this chart mean,explain
what happened to sales recently,root_cause
why did amount go up,root_cause
what are some suprising insights,insights
can you list the regions with the worst outcomes,top_bottom
explain this graph to me like i'm 5,explain
what are the projected revenues for the upcoming quarter?,forecast
can you analyze the dependence between sales and pricing strategy?,correlation
"i dont get it, can you explain?",explain
can u help me with the time,unclear
summary of key findings,insights
clear filters completely,refinement
what are the top countries by amount?,top_bottom
how do these variables relate to each other?,correlation
attribute the drop in revenue,root_cause
whats the main takeaway from this visualisation?,explain
how has profit changed yearly,trend
top 10 sales performers,top_bottom
"rank products by amount, show me the top 3",top_bottom
"hey, nice to meet ya",smalltalk
main points of intrest,insights
can you explain the concept of time,unclear
provide a summary overview,overview
what's the projeciton for the companys revenue next year,forecast
what's goin on with the weather,unclear
i need a summary of our key stats,overview
i need a dashboard of key perfomance indicators,overview
thnx,smalltalk
give me a general idea of how we're doing,overview
correlation between amount and boxes shipped,correlation
can you give me a snapshot of our progress,overview
whats worth looking at in this analysis,insights
what's the yearly trend in sales performance,trend
how has revenue grown over the yrs,trend
what is our current overall perfomance,overview
what insights can we gain from this dashboard?,explain
revenue prognosis for the next 2 quarters,forecast
do these figures correlate,correlation
can u pls tell me the time,unclear
"hello there, how are you doing today?",smalltalk
causes of revenue slump,root_cause
list the 10 highest amounts,top_bottom
why did the numbers go up so significently,root_cause
find the abnormal ones,anomaly
flag abnormal orders,anomaly
can you determine the correlation betwen amount and boxes shipped,correlation
what does this graph represent?,explain
show me a list of correlated variables in my data,correlation
give me the database rows,raw_data
give me a general overview of our busniess perfomance,overview
monthly pattern of orders,trend
can u show me the data rows,raw_data
what is the secret to making the perfect grilled cheese,unclear
revenue rankings: what are the lowest regions,top_bottom
find data that dont fit the norm,anomaly
is there a yearly trend?,trend
what's behind the significent rise in numbers,root_cause
products with the highest and lowest sales,top_bottom
what's the main reason for the sales downturn,root_cause
"give me the sales projection for next quarter, pls",forecast
show amount by year,trend
i need to see the key performance indicators,overview
what's the predicted profit for the next 2 years?,forecast
product with the most sales,top_bottom
forecast the next quarter,forecast
show data points that are way off,anomaly
do you have a favorite food,unclear
"hey, take care",smalltalk
"last quarter, dont show other quarters",refinement
whats driving our expenses,correlation
what are the worst perfoming regions this quarter,top_bottom
uncovering hidden anomalies in the system,anomaly
i need a summary of our companys performance,overview
data points that are off the charts,anomaly
for 2024 only,refinement
"hello, whats up?",smalltalk
filter by this year,refinement
reason for the fluctuation,root_cause
is it hot or cold outside,unclear
amount's increase - what's the root cause,root_cause
what are the worst selling items,top_bottom
take care now,smalltalk
how do you make a paper plane,unclear
abnormal usage patterns in our app,anomaly
summarize our progress so far,overview
projected revenue for the upcoming fiscal year,forecast
how do sales change by year,trend
what's the correllation between these,correlation
scope to category a,refinement
which countries have the most?,top_bottom
next year sales prediction,forecast
what's new with u?,smalltalk
predict sales for the upcoming year,forecast
what's the bottom line?,insights
predict the revenue for the next 5 quarters,forecast
explain the meaning of this chart please,explain
what are the overall numbers looking like,overview
can you give me a quick overview of our company's perfomance?,overview
"i dont get it, can you explain",explain
give me an overview of whats goin on,insights
how do product features impact sales?,correlation
what's the pattern of usage over time,trend
"predicting sales for the next quarter, what's the outlook?",forecast
electronic products only please,refinement
what's the general outlook for our business,overview
provide a brief update,overview
what is this plot trying to show,explain
what role does seasonality play in sales trends?,correlation
hey there,smalltalk
hey long time no talk,smalltalk
give me the amount trend,trend
show me electronics as well,refinement
what's the root cause of the improvment,root_cause
india alone,refinement
hey long time no see,smalltalk
find data points that are way off,anomaly
"hey, what's new",smalltalk
show me the raw dataset,raw_data
can you break down this graph for me,explain
hmm,unclear
can you provide an executive dashboard,overview
what stands out in these numbers,insights
pinpoint anomalies in the dataset,anomaly
how much revenue can we expect in the next 3 months?,forecast
"rank items by profitability, show me the worst",top_bottom
identify the factors that effect stock price,correlation
raw dataset please,raw_data
display income trend from 2010 onwards,trend
recent amount change - what's the cause,root_cause
what caused the decline in revenue,root_cause
what are the underlying factors,root_cause
can you make me laugh,unclear
show all data points,refinement
what are the key insights here,insights
exclude any returns,refinement
you're the best,smalltalk
what is the relationship like between units and revenue,correlation
how does it change by month?,trend
can you tell me if it's cloudy,unclear
tell me somthing thats worth knowing,insights
how do i bake a cake,unclear
does temperature affect sales,correlation
is there a statistical correlation between units and revenue,correlation
what's gonna be the revenue forecast for the next 12 months,forecast
how's your week been,smalltalk
give me a bird's eye view,overview
what is the predicted revenue for the upcoming fiscal year,forecast
sales figures over the years,trend
reset to category a,refinement
is there a pattern in our yearly losses,trend
leave out japan,refinement
forecasting the next 2 years,forecast
what's new with you,smalltalk
point out somethin unusual,insights
good evening,smalltalk
bye bye,smalltalk
overall performance,overview
what are some key takeaways,insights
what are the key factors that influence revenue?,correlation
it was nice chatting,smalltalk
show me the data,raw_data
filter results by electronics,refinement
find me the variables that are closely related,correlation
display the original table,raw_data
whats the most insightful thing you can tell me,insights
"rank products by sales, top to bottom",top_bottom
can you provide some interesting statistics,insights
only show category a,refinement
show electronic items only,refinement
show me the anomalies in the results,anomaly
what about last quarter?,refinement
do you have any pet videos,unclear
i need the unfiltered records,raw_data
anything interesting,insights
give me a rundown of the dashboard,explain
trend of revenue by year,trend
"what does it all mean, can you give me a summary",explain
provide a high level overview of our current performance,overview
can you describe a sunset,unclear
can you decipher this data for me,explain
what's causing our sales to go down?,root_cause
whats the connection between employee engagement and customer satisfaction,correlation
estimate the income for the coming year,forecast
what,unclear
i need the complete picture,refinement
forecast next year,forecast
stats that are just plain weird,anomaly
dont inclue japan,refinement
what is the dependance of revenue on units sold,correlation
which are the best 15 products by revenue?,top_bottom
quantity and price: how do they relate,correlation
find outliers in the data,anomaly
i want to learn how to cook,unclear
"good afternoon, how are you?",smalltalk
what's the overall outlook like?,overview
how are we perfoming as a whole,overview
i'd like to know whats worth notising,insights
provide a high level overview of the business,overview
forecasting next years sales,forecast
show me the products with the lowest profit,top_bottom
show me the data points that are off the charts,anomaly
see you later,smalltalk
what's the monthly trend of amount,trend
what story is this data trying to tell,explain
i need a quick snapshot,overview
i appreciate that,smalltalk
give me a prediction of sales for the next 3 months,forecast
take care and bye,smalltalk
stuff that's out of whack,anomaly
can you break down what this chart is telling us?,explain
break down the data for me,explain
what's the temperature like today,unclear
rank all items by profit and show me the bottom 5,top_bottom
tell me about the forecast,unclear
can you provide a high-level dashboard view,overview
time series of sales,trend
i'm looking for some valuable insights,insights
show me the unusual trends,anomaly
"which products have the least amount, show me the bottom 3",top_bottom
only category a,refinement
filter by last 2 years,refinement
can you show me something interesting,insights
show the database contents,raw_data
who invented the chair,unclear
determine why revenue isnt rising,root_cause
can you predict the future trends for us,forecast
anything i should be aware of,insights
what's the root cause of our sales problem,root_cause
"i'm confuseed by this plot, can you explain",explain
which 3 products made the most amount?,top_bottom
can i get a high level summary?,overview
future outlook for order intake,forecast
filter to include only 2024,refinement
year on year revenue comparision,trend
filter to just last quarter,refinement
show performance summary,overview
identify correlations with customer engagement,correlation
display the first hundred rows,raw_data
i forgot my phone at home whats the time,unclear
why did we see a spike,root_cause
what's the sales forecast look like for next quarter?,forecast
what's the weather like in london,unclear
just show karnataka state,refinement
can you rank our customers by spend,top_bottom
can i get a glimpse of the db table,raw_data
are there any interesting trends,insights
examine the relationship between units and revenue,correlation
you too,smalltalk
give me a high level overview of performance,overview
exceptions to the norm,anomaly
raw data pleez,raw_data
rank the worst 5 customers by sales,top_bottom
say something funny,unclear
can you identify any data points that are not normal,anomaly
get me unfiltered results,refinement
show me the main perfomance metrics,overview
can you share some insights with me,insights
the reason behing the declin,root_cause
display our top and bottom 5 customers,top_bottom
show karnataka now,refinement
its great to talk to you,smalltalk
what dont i know that i should,insights
why are orders falling,root_cause
the raw info please,raw_data
apply electronics filter,refinement
what are the main points to take away,insights
why is it growing so fast,root_cause
take care and talk to you soon,smalltalk
forecast sales for the next year using machine learning,forecast
does our revenue have a seasonal trend?,trend
hey long time,smalltalk
"orders have decreased, what's the root cause",root_cause
take out japan,refinement
can you highlight something suprising,insights
just the current year,refinement
plot the seasonal trend,trend
what's the trend in profits over the years,trend
nice talking to you,smalltalk
how much will we have in 6 months time,forecast
just show india,refinement
list the least 12 popular ones,top_bottom
give me the 3 products with the highest amount,top_bottom
projekt the amount of money we will make in 2027,forecast
future revenue forecast,forecast
can you give me a brief update,overview
how do i plan a vacation,unclear
highest earning salesperson,top_bottom
what will be the revenue next quarter,forecast
can you give me a brief overview,overview
reset to 2024,refinement
i'm having trouble understanding the insights,explain
can you decode this chart for me,explain
list the products with the lowest revenue,top_bottom
show outlier transactions,anomaly
show outliers,anomaly
forecasting sales growth over the next 3 years,forecast
can i get a dashboard,overview
growth pattern of profitability by year,trend
what are the actual rows?,raw_data
show me the key indicators,overview
find the top 5 most unusual data points,anomaly
give me 2024,refinement
find anomalies in the dataset,anomaly
what should i be aware of?,insights
quarterly sales trend analisis,trend
display the raw data,raw_data
can you summarize our key metrics,overview
explane whats goin on in this chart,explain
"i need an executive summary, asap",overview
forecast the value of stock in 2028,forecast
categories that dont sell well,top_bottom
thanks,smalltalk
show me this years,refinement
what am i suppost to be seeing in this chart,explain
nice to catch up with you,smalltalk
can i get electronics too,refinement
how strong is the correlation between units and revenue,correlation
walk me through the numbers,explain
what is the expected growth rate for the next 2 years,forecast
identify the root cause of the change,root_cause
for the last quarter alone,refinement
can you estimate the total for 2026,forecast
add electronics to results,refinement
is it sunny or rainy,unclear
give me a sample of 100 records,raw_data
what does the underlying data look like,raw_data
tell me a joke,unclear
analyse the drop in revenue,root_cause
thanks so much,smalltalk
can you determine the correlation between these metrics?,correlation
can you show me whats intresting,insights
predicting the stock price in the upcoming quarter,forecast
the 5 regions with the smallest revenue r,top_bottom
what's somthing that jumps out at you,insights
forecasting sales for the next quarter,forecast
show me the key metrics,overview
trend of product demand by quarter,trend
give me a list of our best and worst customers,top_bottom
can i see the first 100 entries,raw_data
can you plot the trend by week,trend
what are the most important things to know,insights
anything that jumps out at you,insights
how do i grow a garden,unclear
show me the difference from 2023,refinement
returns should not be included,refinement
"hi, hows it going",smalltalk
how are things going,smalltalk
show me all data without filters,refinement
investigate reasons for revenue decline,root_cause
what are the outliers in our data,anomaly
show me how its changed since last year,refinement
show the top and bottom 5 items by sales,top_bottom
reset filters,refinement
add electronics category,refinement
give me the raw table,raw_data
only catagory a from now on,refinement
country amount - biggest to smallest,top_bottom
largest amount by country,top_bottom
"i dont understand this visualization, can you explain",explain
orders by month trend,trend
can you show me the original data,raw_data
what are the key drivers of growth,correlation
can you offer some analysis of the results,explain
take it easy,smalltalk
who's doing the worst,top_bottom
good to see u,smalltalk
show me what moves with revenue,correlation
estimate revenue for the upcoming year,forecast
what's our overall status?,overview
analyze trend by quarter,trend
can you give me a rundown of this chart,explain
bye for now,smalltalk
expected roi for the upcoming investment,forecast
what's the significance of this dashboard,explain
does sales increse during holidays,trend
exclude all but category a,refinement
"hi, how was your day?",smalltalk
what are the outlier values in this dataset,anomaly
why is amount increasing so rapidly,root_cause
can you show me whats notable,insights
i dont get what this chart is saying,explain
what's the big picture,overview
revenue and units sold: correlated or not,correlation
can you diagnoze the reason for the increase,root_cause
give me an overview of our sales and revenue,overview
i need to know which fields are dependent on each other,correlation
what's the forecasted revenue for 2028,forecast
what's behing the upward trend,root_cause
can you highlight some key points,insights
can you summarize the main points,insights
spotting anomalies in the figures,anomaly
how does price relate to quantity,correlation
what's the historic trend of amount,trend
show me amount over time,trend
underlying cause of the drop,root_cause
what are the main contributors to productivity,correlation
predict the trend for the next 3 quarters,forecast
what's the best pizza topping,unclear
limit to category a,refinement
whats goin on today,unclear
quarterly projection of customer acquisition costs,forecast
can u show me the data,raw_data
which metrics have a strong correlation?,correlation
future predictions for our industry,forecast
what are the 5 worst products by profit?,top_bottom
give me a quick rundown,overview
give me the key statistics,overview
"rank the products by revenue, show me the bottom 8",top_bottom
how does weather affect sales patterns?,correlation
explane the significent increase,root_cause
thanks a ton,smalltalk
what are the top brands,top_bottom
show unusual trends,anomaly
its great to finally meet you,smalltalk
what's going on in this graph,explain
"it's great to see you, how are you?",smalltalk
what are the topline numbers?,overview
can you provide context for this chart,explain
irregularities in the figures,anomaly
what's notable about this situation?,insights
what are the charts trying to say,explain
sales peack in wich month,trend
future outlook for our company's profits,forecast
predicting future revenue based on historical data,forecast
what is the weather today,unclear
can you give me a peek at the raw data,raw_data
top countrys by amount,top_bottom
hey friend,smalltalk
amount's been changing alot lately - why,root_cause
find data that dont fit the pattern,anomaly
i need to see the overall perfomance,overview
who r the top 5 worst customers,top_bottom
bottom 5 categories by sales,top_bottom
what's causing the rise,root_cause
"you too, bye",smalltalk
what pushed revenue up,root_cause
how do different variables affect sales performance?,correlation
diagnose the reason for falling orders,root_cause
what are the top 3 customers this quarter,top_bottom
what does the data in this chart suggest?,explain
i need to know if i should bring an umbrella,unclear
who is responsible for the decline,root_cause
clear all the filter options,refinement
first 20 records,raw_data
i dont get whats going on in this chart,explain
"i'm having trouble grasping this information, can you clarify",explain
what is the main reason for the increse in,root_cause
show me the underlying records,raw_data
can u tell me the current time,unclear
current year data,refinement
thanks alot,smalltalk
identify the abnormal behavior,anomaly
"most amounts by country, ranked",top_bottom
can you walk me through what this report is showing?,explain
can you display the table,raw_data
give me a data table,raw_data
can you break down the findings,explain
compare 2023 and 2024,refinement
correlation and drivers of the data,correlation
its been real,smalltalk
data from this year,refinement
can you write a poem about trees,unclear
can you give me the overall status?,overview
show me everything,refinement
display the complete recordset,raw_data
i want a summary of everythin,overview
how do i cook ramen noodles,unclear
i need a distraction,unclear
i need a high level dashboard,overview
what's the predicted revenue in 2027,forecast
dependencies and correlations,correlation
show me all the raw data,raw_data
can you walk me through this,explain
give me a sample of the data,raw_data
can someone elaborate on this graphic?,explain
i dont care about data,unclear
trend for orders each month,trend
what are the predicted values for the upcoming year,forecast
why is there a decline in orders,root_cause
how's everything,smalltalk
compare with last year,refinement
"country with the most, ranked list",top_bottom
give me a birds eye view,overview
what's the monthly trend in sales,trend
what are the key insights,insights
exclude the outlier month,refinement
without japan data,refinement
monthly revenue trend,trend
tell a story thats not related to work,unclear
what's the time series pattern of amount,trend
need to see the raw data rows,raw_data
can you describe a rainbow,unclear
what are the underlying reasons for the increas,root_cause
estimated orders for the next 3 years,forecast
can you diagnose the reason for the change,root_cause
"last quarter, nothing else",refinement
what are the top level insights here?,insights
what caused the orders to drop,root_cause
give me the short version,overview
rank the top 5 nations by highest gdp per capita,top_bottom
highlight data thats off the charts,anomaly
"how's amount doing, is it going up or down",trend
time series analysis of profit,trend
explain this to me like i'm 5,explain
can you show me the bottom 10 customers,top_bottom
yearly sales trend,trend
find unusual activity,anomaly
i want to watch a movie recomendation,unclear
give me a sample of the table,raw_data
what are the best 3 products by amount?,top_bottom
are there any unusual patterns,anomaly
what's the story behind this data,explain
identify data spikes,anomaly
estimated market value in 5 years,forecast
what is the dependence of amount on boxes shipped,correlation
all the best,smalltalk
"sales perfomance over time, plz",trend
diagnose revenue decline,root_cause
find me some weird numbers,anomaly
detect anomolies in the system,anomaly
what's the worst region in terms of perfomance?,top_bottom
can you display the raw data for me,raw_data
"good morning, how's everything?",smalltalk
what's the most suprising thing,insights
identify spikes in the dataset,anomaly
long term trend of net profits,trend
what's your favorite color,unclear
what's the situation at a glance,overview
display the worst 10 customers in our system,top_bottom
"i'm confused, can you clarify",explain
do i need a coat,unclear
what is important here,insights
unusual trends in sales figures,anomaly
insights view,insights
what should i be paying attention to,insights
locate outliers in the stats,anomaly
anything that stands out to you,insights
give a rundown of the key findings,explain
what's up?,smalltalk
hey whats up,smalltalk
i need to see the trend of website traffic,trend
bottom 5 countries by amount,top_bottom
show me the complete dataset,refinement
correlation analysis between variables,correlation
is there a seasonal trend in orders,trend
how do i cook an egg,unclear
why is amount lower this month,root_cause
forecasting the future of our company's revenue,forecast
can u help me with somethin,unclear
what affects our bottom line,correlation
predict the outcome of our next quarterly earnings,forecast
whats the time on the east coast,unclear
what's the pattern of sales over months,trend
how come the numbers increaed,root_cause
what is the purpose of this dashboard?,explain
can you display the data records,raw_data
revenue fell - whats the reason,root_cause
what are the best and worst brand performers this year,top_bottom
can you show me the pattern of expenditure over time,trend
show every single row,refinement
"hi, how are things?",smalltalk
can you provide a dashboard of key metrics?,overview
what's the sales pattern like by quarter,trend
do you have any travelling tips,unclear
"can you give me the 10,000 ft view?",overview
whats the main reason for the growth,root_cause
can i see the base data?,raw_data
what is the correlation between sales and revenue,correlation
what are the unusual values in this chart,anomaly
walk me through this dashboard,explain
is there a relationship between price and quantity purchased,correlation
display the sample data,raw_data
i need a coffe break,unclear
display every single record,raw_data
can you include electronics,refinement
cause of the reduction,root_cause
show the original data,raw_data
sales trend for the last 5 years,trend
ignore japan,refinement
what's the connection between sales and online reviews?,correlation
whats goin on with the weather outside,unclear
whats new with you,smalltalk
can you determine the cause of the spike,root_cause
lowest selling categories,top_bottom
can you decipher this for me,explain
give me the lowdown on whats going on,insights
"whats the meaning of life, lol",unclear
is there a link between units sold and total revenue,correlation
what are the insights i should have,insights
what is the secret to happiness,unclear
i want to view the records,raw_data
orders trend per month,trend
okay,unclear
only show data from this year and last,refinement
give me a interesting perspective,insights
analyse the time series data of customer complaints,trend
whats goin on in the world,unclear
identify patterns in daily website visits,trend
what's the relationship between sales and economic indicators?,correlation
what's the expected revenue for q1 2024,forecast
boxes shipped vs amount: correlation analysis,correlation
what insights can we gain from this data visualization?,explain
identify transactions that dont add up,anomaly
plot the time series of website traffic,trend
can you plot our daily revenue,trend
what's driving the decline in orders,root_cause
give me some key findings,insights
what's behind the shift,root_cause
good luck,smalltalk
"hello, how are you doing today?",smalltalk
pattern of sales by quarter,trend
why did numbers go up,root_cause
can you highlight something important,insights
show me the metrics over time,trend
whats the expected amount for 2026,forecast
explain the decline in orders,root_cause
can you show me the sales curve,trend
what are the top 3 accounts by size,top_bottom
revenue stream over time,trend
give me the entire dataset,refinement
bottom performers,top_bottom
can you give me the cliffs notes version?,overview
"hi, how are you?",smalltalk
restrict to category a only,refinement
predicting demand for our products in 2024,forecast
whats the big picture take away,insights
show me all the raw records,raw_data
"nice to meet you, hows it going",smalltalk
projected earnings for next fiscal year,forecast
time series of price by quarter,trend
i want to see whats intresting about this,insights
what's the trend in customer complaints over time,trend
i forgot my password,unclear
explain to me like im 5 what this chart is saying,explain
can you decrypt this graph for me?,explain
how many rainbows can fit inside a unicorn,unclear
talk to you when you get back,smalltalk
only 2024 pls,refinement
what's the general outlook?,overview
display the underlying table,raw_data
amount and boxes shipped: what's the relationship like,correlation
can someone walk me through this dashboard,explain
what's the connection between metrics,correlation
spikes in the data,anomaly
analyze seasonality of demand,trend
notable trends,insights
can you break down the data for me,explain
whatss the point of this,unclear
time series analysis of customer acquisition,trend
detect spikes in user engagement,anomaly
what's the pattern of amount by month,trend
show me the table with all the rows,raw_data
morning,smalltalk
what's the key takeaway from this dashboard,explain
what led to the fall,root_cause
can you tell me something,unclear
what are the projected earnings for 2024,forecast
what is the correlation coeficient between amount and boxes,correlation
hey hows it going,smalltalk
hello how r u,smalltalk
do you no any good jokes,unclear
take off all filters,refinement
ditch all the filters,refinement
show quantity by month and year,trend
list the top 15 best selling products by revenue,top_bottom
"i wanna know the sales forecast for next quarter, thx",forecast
"next 3 quarters forecast, can you show me",forecast
what is the airspeed velocity of an unladen swallow,unclear
what's the sales trend lookin like,trend
what's the current situation?,overview
i need to talk about my cat,unclear
i want to know what's significant,insights
give me a bird's eye view of the data,overview
what are the underlying rows,raw_data
can you project sales figures for the upcoming month?,forecast
walk me through this data,explain
spot unusual changes in web traffic,anomaly
show me the predicted trend for the next 12 months,forecast
which brand is number one,top_bottom
identify the correlations between different data elements,correlation
can you show me the outliers,anomaly
many thanks,smalltalk
whats the key thing to understand,insights
what's the forcast look like,unclear
projected earnings for the next fiscal year,forecast
what will our future profits look like,forecast
projection for the future,forecast
thanks for everything,smalltalk
predict future orders,forecast
"whats the product with the lowest sales, and the highest",top_bottom
revenue growth by quarter,trend
show me the sample data,raw_data
show some sample data,raw_data
what are the projections for the upcoming quarter,forecast
"amount, whats the pattern like",trend
how do i get rid of a headache,unclear
identify the root of the problem,root_cause
"i'm confused, can you clarify whats going on",explain
find unusual data points,anomaly
i'm having trouble grasping this chart's meaning,explain
give me the weather,unclear
can you recommend a good book,unclear
narrow down to category a,refinement
what's causing the drop in sales,root_cause
investigate if there is a correlation between units and revenue,correlation
can someone tell me whats happening here,explain
"can you estimate the forecast for q1, q2 and q3",forecast
show me the best 10 with the highest amounts,top_bottom
what's the weird stuff in our metrics,anomaly
show raw data please,raw_data
rank our customers from top to bottom by revenue,top_bottom
what are some interesting trends,insights
what's the top 10 by amount?,top_bottom
what are the top level metrics i should be aware of?,overview
this year's data only,refinement
can i get a quick rundown,overview
how does profit change by season,trend
what's behind the decline in sales figures?,root_cause
how's everything going in general?,overview
display the 7 products with the lowest revenue,top_bottom
can u show me the worst customers,top_bottom
consider only india,refinement
which region is struggling the most,top_bottom
monthly fluctuations in product demand,trend
i have a meeting whats the time,unclear
is there a yearly trend in revenue,trend
is there seasonality in our data,trend
can you explain the reason for the increse,root_cause
can you show me the main highlights,overview
is ther anything notable,insights
can you tell me why sales have dropped,root_cause
do units sold impact total revenue,correlation
what are the main predictors of sales growth?,correlation
i need a quick rundown of our perfomance,overview
i need help understanding this report,explain
overall perfomance please,overview
monthly fluctuation in turnover,trend
show me the categories with the lowest sales volume,top_bottom
model future demand,forecast
why did amount jump up,root_cause
do you like pizza,unclear
can you describe a cat,unclear
display the bottom 5 customer list,top_bottom
show me all of it,refinement
excluding only japan,refinement
hope you're doing well,smalltalk
show me a sample of the data,raw_data
can you summarize the key findings?,overview
year over year growth,trend
what's the most noticable thing,insights
what will be the predicted value in 2027,forecast
long time no see,smalltalk
can you recommend a good restaurant,unclear
i dont wanna talk about data,unclear
no filters should be applied,refinement
give a brief summary of perfomance,overview
what insights can we gain from this,explain
whats the story behind this plot,explain
its been a pleasue talking to you,smalltalk
also show me electronics,refinement
you're welcome,smalltalk
hope you had a great weekend,smalltalk
what led to the decrease in sales revenue,root_cause
find the irregularities in the figures,anomaly
what's the dependence of quantity on price,correlation
monthly and yearly pattern,trend
can you break it down for me,explain
i'll catch you on the flip side,smalltalk
what's your favorite book,unclear
what contributed to the jump,root_cause
show the entire dataset,raw_data
can you estimate the future demand for our product,forecast
filter reset please,refinement
reasons why its not working,root_cause
"you too, thanks",smalltalk
seasonal variation in product demand,trend
what drives the relationship between these metrics,correlation
how do product sales affect revenue,correlation
predict sales for next quarter,forecast
sales worst perfoming categories,top_bottom
refine by electronics,refinement
display full results,refinement
analyze the correlation between product sales and revenue,correlation
list countries from largest to smallest,top_bottom
can you create a short story,unclear
the least successful ones,top_bottom
what's the overall situation?,overview
what are the best and worst regions,top_bottom
walk me through the results,explain
can you give me some notable trends?,insights
seasonal fluctuations in revenue,trend
how do i get started with nothing,unclear
can you write a script for a movie,unclear
what is the underlying cause of the growth spurt,root_cause
why has revenue been falling,root_cause
hi hows it going,smalltalk
can you put the results into perspective,explain
erase all filter criteria,refinement
"hello, nice to meet u too",smalltalk
show me the top findings,insights
how do different factors impact sales performance,correlation
why did we see an increase in,root_cause
high level overview of whats important,insights
what made it go down,root_cause
